year,month,H(i)_m
2005,Jan,68.55
2005,Feb,74.6
2005,Mar,139.44
2005,Apr,146.6
2005,May,181.39
2005,Jun,184.29
2005,Jul,164.22
2005,Aug,148.34
2005,Sep,131.2
2005,Oct,113.58
2005,Nov,68.36
2005,Dec,50.3
2006,Jan,81
2006,Feb,78.88
2006,Mar,120.48
2006,Apr,149.28
2006,May,168.75
2006,Jun,190.32
2006,Jul,207.63
2006,Aug,144.68
2006,Sep,144.08
2006,Oct,118.23
2006,Nov,68.43
2006,Dec,71.89
2007,Jan,49.81
2007,Feb,80.25
2007,Mar,142.3
2007,Apr,207.37
2007,May,170.59
2007,Jun,175.18
2007,Jul,176.93
2007,Aug,146.35
2007,Sep,113.62
2007,Oct,99
2007,Nov,59.84
2007,Dec,61.74
2008,Jan,65.96
2008,Feb,113.02
2008,Mar,124.13
2008,Apr,148.58
2008,May,194.46
2008,Jun,165.09
2008,Jul,176.11
2008,Aug,158.32
2008,Sep,118.53
2008,Oct,97.15
2008,Nov,70.3
2008,Dec,52.2
2009,Jan,69.65
2009,Feb,75.33
2009,Mar,103.92
2009,Apr,176.7
2009,May,170.5
2009,Jun,156.18
2009,Jul,177.33
2009,Aug,178.14
2009,Sep,125.76
2009,Oct,90.77
2009,Nov,70.04
2009,Dec,47.1
2010,Jan,61.44
2010,Feb,81.47
2010,Mar,134.61
2010,Apr,168.44
2010,May,130.14
2010,Jun,147.45
2010,Jul,184.25
2010,Aug,135.13
2010,Sep,120.73
2010,Oct,90.06
2010,Nov,63.3
2010,Dec,44.13
2011,Jan,59.85
2011,Feb,93.79
2011,Mar,152.94
2011,Apr,184.41
2011,May,202.43
2011,Jun,146.62
2011,Jul,165.01
2011,Aug,171.82
2011,Sep,138.52
2011,Oct,114.99
2011,Nov,87.61
2011,Dec,45.42
2012,Jan,55.18
2012,Feb,84.15
2012,Mar,149.87
2012,Apr,149.67
2012,May,190.52
2012,Jun,161.54
2012,Jul,173.15
2012,Aug,182.22
2012,Sep,130.09
2012,Oct,98.38
2012,Nov,64.12
2012,Dec,55.03
2013,Jan,50.07
2013,Feb,69.59
2013,Mar,125.28
2013,Apr,137.31
2013,May,140.42
2013,Jun,154.1
2013,Jul,202.26
2013,Aug,164.93
2013,Sep,111.13
2013,Oct,90.58
2013,Nov,48.23
2013,Dec,72.38
2014,Jan,58.17
2014,Feb,92.61
2014,Mar,159.82
2014,Apr,150.71
2014,May,167.46
2014,Jun,190.42
2014,Jul,159.69
2014,Aug,149.59
2014,Sep,125.45
2014,Oct,99.29
2014,Nov,68.82
2014,Dec,38.8
2015,Jan,59.98
2015,Feb,97.39
2015,Mar,139.15
2015,Apr,182.25
2015,May,141.7
2015,Jun,158.97
2015,Jul,194
2015,Aug,179.79
2015,Sep,116.96
2015,Oct,85.96
2015,Nov,80.23
2015,Dec,72.66
2016,Jan,59.23
2016,Feb,70.4
2016,Mar,128.59
2016,Apr,152.7
2016,May,161.11
2016,Jun,153.85
2016,Jul,175.04
2016,Aug,180.4
2016,Sep,148.88
2016,Oct,85.91
2016,Nov,64.51
2016,Dec,65.68
2017,Jan,74.67
2017,Feb,89.22
2017,Mar,139.23
2017,Apr,144.76
2017,May,179.97
2017,Jun,188.73
2017,Jul,172.47
2017,Aug,170.03
2017,Sep,117.79
2017,Oct,106.5
2017,Nov,49.14
2017,Dec,49.77
2018,Jan,56.87
2018,Feb,82.1
2018,Mar,129.6
2018,Apr,192.77
2018,May,181.5
2018,Jun,162.47
2018,Jul,185.52
2018,Aug,174.82
2018,Sep,148.62
2018,Oct,116.49
2018,Nov,72.25
2018,Dec,41.34
2019,Jan,53.24
2019,Feb,110.87
2019,Mar,140.57
2019,Apr,155.12
2019,May,150.87
2019,Jun,189.45
2019,Jul,184.95
2019,Aug,160.79
2019,Sep,137.49
2019,Oct,98.21
2019,Nov,63.04
2019,Dec,60.15
2020,Jan,76.98
2020,Feb,88.13
2020,Mar,145.86
2020,Apr,202.61
2020,May,169.7
2020,Jun,148.15
2020,Jul,181.1
2020,Aug,159.25
2020,Sep,141.79
2020,Oct,86.29
2020,Nov,72.89
2020,Dec,48.51
